year,coal,oil,gas
1895,0.10011065,0.0033422846,4.9262814E-4
1896,0.10323789,0.0036206373,4.790437E-4
1897,0.108092405,0.0038167147,5.098009E-4
1898,0.11406417,0.0039243647,5.9182016E-4
1899,0.12468003,0.0040991683,7.6277903E-4
1900,0.13123439,0.0045987167,8.0737704E-4
1901,0.135128,0.005136456,8.996487E-4
1902,0.13822755,0.0055552665,9.580874E-4
1903,0.15102,0.0058677085,0.0010162698
1904,0.15194938,0.006570767,0.0010608678
1905,0.16208568,0.0066081886,0.0012010694
1906,0.17047265,0.006639202,0.0013310186
1907,0.19228132,0.008121444,0.0013904826
1908,0.18405658,0.00873787,0.0013763856
1909,0.19109923,0.009092603,0.0016455112
1910,0.20015517,0.009782846,0.0017429091
1911,0.20336059,0.0103833815,0.001799041
1912,0.21314958,0.010590992,0.001980765
1913,0.22984281,0.012320317,0.0020704735
1914,0.20682974,0.0126799205,0.002108151
1915,0.20283104,0.013556245,0.0022291294
1916,0.21849366,0.014726557,0.0026845927
1917,0.22748527,0.016503042,0.0028337652
1918,0.2238977,0.01703386,0.0025546434
1919,0.18931659,0.019054353,0.0026546044
1920,0.21799487,0.024458654,0.0029160408
1921,0.18602172,0.026828755,0.0024475057
1922,0.19321147,0.029743,0.0028053147
1923,0.2194384,0.03303838,0.003674206
1924,0.21996488,0.03282103,0.00417478
1925,0.21994103,0.03436376,0.0044685113
1926,0.21504448,0.03488971,0.0048322156
1927,0.2348019,0.038118448,0.0053125406
1928,0.23083909,0.04010921,0.0057736426
1929,0.24608724,0.04430244,0.0071910378
1930,0.22458793,0.043053955,0.0072848476
1931,0.19776867,0.04142331,0.0064882357
1932,0.17613225,0.039581466,0.006157339
1933,0.18428752,0.043146998,0.00634137
1934,0.2013283,0.045720864,0.007105943
1935,0.20961507,0.04946222,0.0077582523
1936,0.23021702,0.053797454,0.008738639
1937,0.24275418,0.06100182,0.009789511
1938,0.22664687,0.059574172,0.009433496
1939,0.24106714,0.061617475,0.009841285
1940,0.26658204,0.063613616,0.010663272
1941,0.27257434,0.06515789,0.010735295
1942,0.27747524,0.060793184,0.011615721
1943,0.28374484,0.0659422,0.012794491
1944,0.27113593,0.075895235,0.013823063
1945,0.210648,0.07583115,0.0150666805
1946,0.22733328,0.08554352,0.015555208
1947,0.25441858,0.09172393,0.017216098
1948,0.26229528,0.0998182,0.019465476
1949,0.24980937,0.09220374,0.020884922
1950,0.27185512,0.098587655,0.02453119
